bug_id,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_category,severity_code
BUGZILLA-294734,Bugzilla-General,BUGZILLA,Emergency 2.16.10 Release,"2.16.9 is broken -- many users can't enter bugs on it particularly not from a
fresh install. So we need to pull 2.16.9 and post a 2.16.10 instead.",mkanat,mkanat,fixed,1,resolved,4,0,15,1,blocker,6
SUPPORT.MOZILLA.ORG-398246,General,SUPPORT.MOZILLA.ORG,Add support for custom cookies and cache headers,"Adding support for custom headers and cookie names involves two steps:
* making session names configurable
* disabling auto-start for sessions

This can be accomplished in tiki-setup_base.php though it means in turn that all pages dependent on the hard-coded PHPSESSID cookie along with the basic session handler all need to be refactored to not assume there is a pre-existing session.

I'm looking at re-implementing some session libs I have from before.  Should do the trick.

This is a chicken/egg problem since we want to use non-default cookie names for NS rules.  We can't have the app auto-setting the cookie while simultaneously passing cache headers.  We need to separate the behavior so it's consistent and predictable for the proxy cache.

ETA is Thurs.  This affect performance and for a couple of reasons it blocks bug 398239.",morgamic,morgamic,fixed,1,resolved,4,0,23,174,blocker,6
MOZILLA.ORG_GRAVEYARD-516424,Server Operations,MOZILLA.ORG_GRAVEYARD,MDC badly broken this morning,MDC appears to have lost all its preferences. What's going on?,smani,eshepherd,fixed,1,resolved,4,0,6,0,blocker,6
SKYWRITER_GRAVEYARD-511289,Collaboration,SKYWRITER_GRAVEYARD,When MobWrite is restarted data is lost,"Dion and I were collaborating on a document when it appears Kevin's daemon auto-restarted the deadlocked mobwrite.

i immediately lost the contents of the files I was collaborating on with dion. i had saved frequently so i could retrieve the contents by turning collaboration off and then reloading the file and then copying this to the clipboard turning collaboration on (which caused the contents to disappear) and then pasting it in.

this should be fixed such that restarting mobwrite causes no loss of data for the user.",jwalker,ben,fixed,1,resolved,4,0,3,8,blocker,6
INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD-799473,WebOps: Other,INFRASTRUCTURE_&_OPERATIONS_GRAVEYARD,please update AUS to AUS2_PRODUCTION tag,You should end up with rev 1.228 of config-dist.php.,pradcliffe+bugzilla,kmoir,fixed,1,resolved,4,0,4,0,blocker,6
BUGZILLA-110276,Bugzilla-General,BUGZILLA,SQL error in globals.pl,"If you click on Show dependency graph for any bug check Show the summary of
all bugs on the new page and click Submit again you get:

Software error:
select bug_status short_desc from bugs LEFT JOIN cc selectVisible_cc ON
bugs.bug_id = selectVisible_cc.bug_id AND selectVisible_cc.who = 29933 WHERE
((bugs.groupset & 0) = bugs.groupset OR (bugs.reporter_accessible = 1 AND
bugs.reporter = 29933) OR (bugs.assignee_accessible = 1 AND bugs.assigned_to =
29933) OR (bugs.qacontact_accessible = 1 AND bugs.qa_contact = 29933) OR
(bugs.cclist_accessible = 1 AND selectVisible_cc.who = 29933 AND not
isnull(selectVisible_cc.who))) AND bug_id = 102293: Column: 'bug_id' in where
clause is ambiguous at globals.pl line 222.",justdave,bugzilla3,fixed,1,resolved,4,0,8,6,blocker,6
FIREFOX-283966,General,FIREFOX,No new Mac nightlies Just an empty DMG file since 20050226,"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.8b2) Gecko/20050226 Firefox/1.0+ (PowerBook)
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.8b2) Gecko/20050226 Firefox/1.0+ (PowerBook)

The last created Mac nightly is firefox-1.0+.en-US.mac.dmg from 25-Feb-2005.
Since 26-Feb-2005 there's a big (26MB) but empty file called
rw.firefox-1.0+.en-US.mac.dmg in the latest-trunk folder.

Workaround: Use nightlies provided by Powerbook at http://homepage.mac.com/krmathis/

Reproducible: Always

Steps to Reproduce:
1. Visit http://ftp.mozilla.org/pub/mozilla.org/firefox/nightly/latest-trunk/
2.
3.

Actual Results:  
No current firefox-1.0+.en-US.mac.dmg

Expected Results:  
A current firefox-1.0+.en-US.mac.dmg that's not 26MB",chase,kamikazow,fixed,1,resolved,4,2,11,94,blocker,6
BUGZILLA-108581,Installation & Upgrading,BUGZILLA,Bundle::Bugzilla needs to be updated on CPAN for the Bugzilla v2.16 release,"CPAN::Bugzilla will need to be updated with the new modules
and new versions of modules listed in checksetup.pl before or
coinciding with the Bugzilla v2.16 release.",zach,ddkilzer,fixed,1,resolved,4,0,9,91,blocker,6
THUNDERBIRD-236156,Mail Window Front End,THUNDERBIRD,Missing DTD errors unable to start thunderbird,"Caused by the checkin for Bug #235317

Thunderbird is currently DOA until we can get this fixed",mscott,mscott,fixed,1,resolved,4,0,7,0,blocker,6
MOZILLA.ORG_GRAVEYARD-456160,Server Operations,MOZILLA.ORG_GRAVEYARD,tinderbox.mozilla.org is mostly down,"tinderbox.mozilla.org is mostly down right now:

http://tinderbox.mozilla.org/showbuilds.cgi?tree=Firefox&hours=3 gives a 500 internal server error or just hangs while trying to load

http://tinderbox.mozilla.org/Firefox/ shows a static page that hasn't been updated for over 20 minutes (which seems likely to be around when the problems started)

This blocks people from pushing to hg.",reed,dbaron,fixed,1,resolved,4,0,2,0,blocker,6
RELEASE_ENGINEERING-396805,General,RELEASE_ENGINEERING,fxdbug-linux-tbox needs to be upgraded to the new ref platform,"Looks like this version requirement change broke fxdbug-linux-tbox which is still the older CentOS 4.4 ref platform.

This bug tracks upgrading it to the new CentOS 5 ref platform.",mozpreed,mozpreed,fixed,1,resolved,4,0,6,2,blocker,6
BUGZILLA-124174,Email Notifications,BUGZILLA,processmail should be a package,"It would be good if globals.pl defined a sub CallProcessMail which contained 
the system() call so that all the separate files could just call that single 
sub. In a Win32 installation it's many times necessary to whip up several 
parameters to the system call and it's rather cumbersome to run around the 
source files pasting the new code everywhere. Combining the calls into a single 
place would help changing the system call syntax.

I currently use the following: 

sub CallProcessMail {
 system(d:\\perl\\bin\\perl.exe -I\\\\t1\\\\s1\\bugzilla\\ \\\\t1\\\\s1
\\bugzilla\\processmail.pl @_)
}",mozpreed,jouni,fixed,1,resolved,4,1,116,367,blocker,6
